Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
R. Kelly,https://en.wikipedia.org/wiki/R._Kelly,9.50%,81.20%,9.30%,N,10.50%,79.30%,10.20%,N
Tory Lanez,https://en.wikipedia.org/wiki/Tory_Lanez,6.00%,84.90%,9.20%,N,6.60%,83.70%,9.70%,N
Rush Limbaugh,https://en.wikipedia.org/wiki/Rush_Limbaugh,9.70%,81.40%,8.90%,P,10.20%,78.80%,10.00%,N
Tucker Carlson,https://en.wikipedia.org/wiki/Tucker_Carlson,7.60%,80.20%,12.20%,N,8.10%,78.50%,13.40%,N
Joe Rogan,https://en.wikipedia.org/wiki/Joe_Rogan,11.60%,81.30%,7.00%,P,12.70%,79.70%,7.60%,P
Jair Bolsonaro,https://en.wikipedia.org/wiki/Jair_Bolsonaro,9.00%,81.10%,9.90%,N,9.70%,79.30%,10.90%,N
Boris Johnson,https://en.wikipedia.org/wiki/Boris_Johnson,9.30%,81.70%,9.00%,P,10.30%,79.80%,9.90%,P
Rodrigo Duterte,https://en.wikipedia.org/wiki/Rodrigo_Duterte,9.40%,80.70%,9.90%,N,9.90%,78.90%,11.20%,N
Bashar al-Assad,https://en.wikipedia.org/wiki/Bashar_al-Assad,7.80%,78.80%,13.40%,N,8.30%,77.10%,14.60%,N
Mitch McConnell,https://en.wikipedia.org/wiki/Mitch_McConnell,9.60%,83.70%,6.70%,P,10.10%,82.30%,7.50%,N
Sarah Palin,https://en.wikipedia.org/wiki/Sarah_Palin,9.10%,83.40%,7.40%,P,10.00%,81.80%,8.20%,P
M. Katherine Banks,https://en.wikipedia.org/wiki/M._Katherine_Banks,1.90%,94.80%,3.40%,N,1.90%,94.30%,3.80%,N
Kim Jong Un,https://en.wikipedia.org/wiki/Kim_Jong_Un,10.60%,83.50%,5.90%,P,11.30%,81.60%,7.10%,N
Xi Jinping,https://en.wikipedia.org/wiki/Xi_Jinping,10.70%,84.40%,4.90%,P,11.60%,82.90%,5.50%,N
Amanda Bynes,https://en.wikipedia.org/wiki/Amanda_Bynes,9.00%,85.70%,5.30%,P,10.40%,83.60%,6.00%,P
Justin Timberlake,https://en.wikipedia.org/wiki/Justin_Timberlake,13.00%,84.70%,2.30%,P,14.10%,83.20%,2.70%,P
Jeffrey Dahmer,https://en.wikipedia.org/wiki/Jeffrey_Dahmer,5.60%,80.60%,13.80%,N,5.90%,79.20%,14.90%,N
Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking,11.10%,83.30%,5.60%,P,11.80%,81.80%,6.40%,P
Diplo,https://en.wikipedia.org/wiki/Diplo,9.00%,86.70%,4.30%,P,9.50%,85.60%,4.90%,P
Skrillex,https://en.wikipedia.org/wiki/Skrillex,6.80%,87.50%,5.70%,P,7.30%,86.70%,6.00%,P
Kacey Musgraves,https://en.wikipedia.org/wiki/Kacey_Musgraves,11.80%,87.00%,1.20%,P,13.00%,85.50%,1.50%,P
Tierra Whack,https://en.wikipedia.org/wiki/Tierra_Whack,12.00%,83.40%,4.60%,P,13.00%,81.70%,5.30%,P
Teddy Swims,https://en.wikipedia.org/wiki/Teddy_Swims,9.30%,87.30%,3.40%,P,9.70%,86.80%,3.50%,P
Benson Boone,https://en.wikipedia.org/wiki/Benson_Boone,12.80%,83.90%,3.40%,P,14.20%,81.90%,3.90%,P
Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,8.70%,88.40%,3.00%,P,9.40%,87.50%,3.10%,P
Noah Schnapp,https://en.wikipedia.org/wiki/Noah_Schnapp,9.90%,86.70%,3.40%,P,11.10%,85.30%,3.60%,P
Jelly Roll (singer),https://en.wikipedia.org/wiki/Jelly_Roll_(singer),7.60%,87.60%,4.80%,P,9.00%,86.00%,5.00%,P
Luke Combs,https://en.wikipedia.org/wiki/Luke_Combs,7.80%,90.20%,2.00%,P,8.40%,89.10%,2.50%,P
Shawn Mendes,https://en.wikipedia.org/wiki/Shawn_Mendes,9.90%,88.20%,1.90%,P,10.50%,87.10%,2.40%,P
John Legend,https://en.wikipedia.org/wiki/John_Legend,14.70%,82.60%,2.70%,P,15.90%,81.30%,2.90%,P
John Lennon,https://en.wikipedia.org/wiki/John_Lennon,10.00%,83.40%,6.60%,P,10.80%,81.90%,7.30%,P
Adam Levine,https://en.wikipedia.org/wiki/Adam_Levine,11.40%,84.40%,4.20%,P,12.60%,82.80%,4.70%,P
Khalid,https://en.wikipedia.org/wiki/Khalid,17.30%,82.70%,0.00%,P,17.30%,82.70%,0.00%,P
Halsey (singer),https://en.wikipedia.org/wiki/Halsey_(singer),8.40%,85.20%,6.40%,P,9.10%,84.10%,6.80%,P
Christina Aguilera,https://en.wikipedia.org/wiki/Christina_Aguilera,14.00%,83.00%,3.00%,P,15.90%,80.70%,3.40%,P
Alicia Keys,https://en.wikipedia.org/wiki/Alicia_Keys,13.40%,83.30%,3.30%,P,14.30%,81.90%,3.80%,P
Usher (musician),https://en.wikipedia.org/wiki/Usher_(musician),12.30%,85.00%,2.60%,P,13.50%,83.10%,3.40%,P
Lewis Capaldi,https://en.wikipedia.org/wiki/Lewis_Capaldi,11.90%,85.50%,2.60%,P,15.00%,82.20%,2.40%,P
Kelly Clarkson,https://en.wikipedia.org/wiki/Kelly_Clarkson,15.40%,82.20%,2.40%,P,16.40%,80.90%,2.80%,P
Tori Kelly,https://en.wikipedia.org/wiki/Tori_Kelly,13.40%,84.10%,2.40%,P,14.80%,81.80%,3.40%,P
Ellie Goulding,https://en.wikipedia.org/wiki/Ellie_Goulding,14.50%,82.80%,2.70%,P,3.50%,80.10%,16.30%,P
McDonald's,https://en.wikipedia.org/wiki/McDonald%27s,6.80%,87.50%,5.60%,P,7.20%,86.10%,6.60%,P
Arby's,https://en.wikipedia.org/wiki/Arby%27s,5.80%,91.50%,2.70%,P,6.60%,90.60%,2.80%,P
Dan Reynolds,https://en.wikipedia.org/wiki/Dan_Reynolds,8.70%,87.30%,4.00%,P,9.90%,85.20%,4.90%,P
Starbucks,https://en.wikipedia.org/wiki/Starbucks,7.40%,89.20%,3.40%,P,8.00%,88.20%,3.80%,P
Gwen Stefani,https://en.wikipedia.org/wiki/Gwen_Stefani,14.80%,82.00%,3.20%,P,16.20%,80.50%,3.30%,P
Adam Lambert,https://en.wikipedia.org/wiki/Adam_Lambert,15.00%,82.30%,2.80%,P,16.30%,80.70%,3.00%,P
Nick Jonas,https://en.wikipedia.org/wiki/Nick_Jonas,8.60%,88.70%,2.70%,P,9.80%,87.30%,2.90%,P
Joe Jonas,https://en.wikipedia.org/wiki/Joe_Jonas,6.80%,91.40%,1.80%,P,7.40%,90.70%,1.90%,P
Carrie Underwood,https://en.wikipedia.org/wiki/Carrie_Underwood,18.60%,78.90%,2.50%,P,20.10%,77.00%,2.90%,P
