Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
Bill Gates,https://en.wikipedia.org/wiki/Bill_Gates,11.30%,83.20%,5.50%,P,12.20%,81.90%,5.80%,P
Bill Cosby,https://en.wikipedia.org/wiki/Bill_Cosby,9.90%,82.50%,7.50%,P,10.40%,81.10%,8.50%,P
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,15.90%,79.90%,4.20%,P,17.50%,77.90%,4.70%,P
Alexandria Ocasio-Cortez,https://en.wikipedia.org/wiki/Alexandria_Ocasio-Cortez,8.70%,83.70%,7.60%,P,9.60%,81.90%,8.50%,P
Adele,https://en.wikipedia.org/wiki/Adele,12.40%,84.40%,2.80%,P,13.60%,83.30%,3.00%,P
Pete Davidson,https://en.wikipedia.org/wiki/Pete_Davidson,9.20%,83.20%,7.70%,P,8.10%,81.80%,10.10%,P
Bad Bunny,https://en.wikipedia.org/wiki/Bad_Bunny,6.50%,83.40%,10.10%,N,7.60%,81.70%,10.70%,P
Andrés Manuel López Obrador,https://en.wikipedia.org/wiki/Andr%C3%A9s_Manuel_L%C3%B3pez_Obrador,9.50%,82.00%,8.50%,P,10.00%,80.50%,9.50%,P
"Joaquín ""El Chapo"" Guzmán",https://en.wikipedia.org/wiki/Joaqu%C3%ADn_%22El_Chapo%22_Guzm%C3%A1n,6.10%,81.60%,12.30%,N,6.40%,80.20%,13.50%,N
Ted Cruz,https://en.wikipedia.org/wiki/Ted_Cruz,11.20%,79.70%,9.10%,P,12.00%,77.80%,10.20%,N
Marjorie Taylor Greene,https://en.wikipedia.org/wiki/Marjorie_Taylor_Greene,8.40%,79.90%,11.70%,N,9.00%,78.30%,12.70%,N
Supreme Court of the United States,https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States,13.40%,81.10%,5.50%,P,13.90%,80.40%,5.70%,P
United States,https://en.wikipedia.org/wiki/United_States,10.10%,87.20%,2.70%,P,10.70%,86.10%,3.10%,P
Mexico,https://en.wikipedia.org/wiki/Mexico,8.40%,86.10%,5.50%,P,8.90%,85.10%,6.00%,P
Syria,https://en.wikipedia.org/wiki/Syria,6.60%,85.20%,8.20%,N,6.90%,84.30%,8.80%,N
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,10.90%,82.50%,6.60%,P,11.60%,80.80%,7.60%,P
Jeff Bezos,https://en.wikipedia.org/wiki/Jeff_Bezos,11.60%,83.90%,4.60%,P,12.80%,82.00%,5.20%,P
Pink (singer),https://en.wikipedia.org/wiki/Pink_(singer),16.80%,79.70%,3.50%,P,18.10%,77.80%,4.00%,P
Doja Cat,https://en.wikipedia.org/wiki/Doja_Cat,12.90%,82.60%,4.60%,P,13.70%,81.10%,5.20%,P
Megan Thee Stallion,https://en.wikipedia.org/wiki/Megan_Thee_Stallion,7.20%,89.70%,3.10%,P,7.90%,88.50%,3.70%,P
Cardi B,https://en.wikipedia.org/wiki/Cardi_B,12.50%,83.70%,3.70%,P,13.40%,82.40%,4.20%,P
Sam Smith,https://en.wikipedia.org/wiki/Sam_Smith,12.60%,85.40%,2.00%,P,13.50%,84.10%,2.40%,P
Kim Petras,https://en.wikipedia.org/wiki/Kim_Petras,10.00%,85.20%,4.80%,P,10.80%,83.80%,5.40%,P
Conan Gray,https://en.wikipedia.org/wiki/Conan_Gray,12.00%,85.40%,2.60%,P,12.90%,83.80%,3.30%,P
Charli XCX,https://en.wikipedia.org/wiki/Charli_XCX,8.30%,87.60%,4.20%,P,9.20%,86.20%,4.60%,P
Raye,https://en.wikipedia.org/wiki/Raye,12.50%,85.30%,2.20%,P,13.50%,84.10%,2.40%,P
Reneé Rapp,https://en.wikipedia.org/wiki/Rene%C3%A9_Rapp,2.60%,90.00%,7.30%,P,9.10%,87.60%,3.30%,P
Ava Max,https://en.wikipedia.org/wiki/Ava_Max,7.90%,87.20%,4.90%,P,8.90%,85.20%,5.90%,P
Lizzo,https://en.wikipedia.org/wiki/Lizzo,13.90%,81.10%,5.00%,P,15.30%,79.20%,5.50%,P
Osama bin Laden,https://en.wikipedia.org/wiki/Osama_bin_Laden,7.70%,79.30%,13.10%,N,8.00%,77.90%,14.10%,N
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,8.90%,78.40%,12.70%,N,9.50%,76.50%,14.00%,N
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin,8.90%,82.00%,9.00%,N,9.50%,80.50%,10.00%,N
Charlie Puth,https://en.wikipedia.org/wiki/Charlie_Puth,7.60%,89.80%,2.60%,P,8.40%,88.40%,3.20%,P
Post Malone,https://en.wikipedia.org/wiki/Post_Malone,7.70%,88.30%,4.00%,P,8.60%,87.00%,4.40%,P
Kylie Jenner,https://en.wikipedia.org/wiki/Kylie_Jenner,6.90%,90.40%,2.70%,P,7.40%,89.50%,3.10%,P
Candace Owens,https://en.wikipedia.org/wiki/Candace_Owens,7.60%,80.80%,11.60%,N,7.80%,79.20%,13.00%,N
Azealia Banks,https://en.wikipedia.org/wiki/Azealia_Banks,7.30%,85.80%,6.90%,P,8.30%,83.70%,8.10%,P
Iggy Azalea,https://en.wikipedia.org/wiki/Iggy_Azalea,10.90%,84.70%,4.40%,P,11.80%,83.20%,5.00%,P
Harry Styles,https://en.wikipedia.org/wiki/Harry_Styles,14.20%,82.60%,3.20%,P,15.90%,80.50%,3.60%,P
Niall Horan,https://en.wikipedia.org/wiki/Niall_Horan,12.60%,85.10%,2.30%,P,14.30%,83.00%,2.70%,P
Zayn Malik,https://en.wikipedia.org/wiki/Zayn_Malik,7.30%,88.80%,3.90%,P,8.00%,87.50%,4.40%,P
Liam Payne,https://en.wikipedia.org/wiki/Liam_Payne,8.90%,88.70%,2.40%,P,9.80%,87.20%,3.00%,P
Louis Tomlinson,https://en.wikipedia.org/wiki/Louis_Tomlinson,11.40%,85.40%,3.20%,P,12.20%,83.80%,4.00%,P
Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,13.80%,81.30%,4.90%,P,15.00%,79.50%,5.50%,P
Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,12.20%,82.70%,5.10%,P,13.20%,81.40%,5.50%,P
James Charles,https://en.wikipedia.org/wiki/James_Charles ,4.80%,91.60%,3.60%,P,4.00%,90.90%,5.10%,N
JoJo Siwa,https://en.wikipedia.org/wiki/JoJo_Siwa,6.30%,90.80%,2.90%,P,7.40%,89.20%,3.40%,P
Trisha Paytas,https://en.wikipedia.org/wiki/Trisha_Paytas,5.10%,90.00%,4.90%,N,5.20%,88.30%,6.50%,N
Colleen Ballinger,https://en.wikipedia.org/wiki/Colleen_Ballinger,14.40%,76.60%,6.10%,P,15.60%,77.50%,6.90%,N
Charli D'Amelio,https://en.wikipedia.org/wiki/Charli_D%27Amelio,10.20%,86.20%,3.60%,P,11.40%,84.40%,4.20%,P
Dixie D'Amelio,https://en.wikipedia.org/wiki/Dixie_D%27Amelio,4.80%,94.60%,0.70%,P,6.80%,92.50%,0.70%,P
Addison Rae,https://en.wikipedia.org/wiki/Addison_Rae,12.90%,84.20%,2.90%,P,13.60%,83.20%,3.20%,P
Bella Poarch,https://en.wikipedia.org/wiki/Bella_Poarch,8.80%,82.30%,8.90%,N,9.00%,80.00%,11.00%,P
Rihanna,https://en.wikipedia.org/wiki/Rihanna,13.30%,82.30%,4.40%,P,14.40%,76.60%,6.00%,P
Zach Bryan,https://en.wikipedia.org/wiki/Zach_Bryan,12.20%,85.40%,2.50%,P,13.30%,84.10%,2.60%,P
Morgan Wallen,https://en.wikipedia.org/wiki/Morgan_Wallen,9.30%,85.60%,5.00%,P,10.60%,83.70%,5.80%,P
Chris Brown,https://en.wikipedia.org/wiki/Chris_Brown,12.40%,81.70%,5.90%,P,13.70%,76.60%,6.70%,P
Iraq,https://en.wikipedia.org/wiki/Iraq,6.10%,87.10%,6.70%,N,6.60%,85.80%,7.60%,N
Russia,https://en.wikipedia.org/wiki/Russia,8.60%,85.00%,6.50%,P,9.20%,83.30%,7.50%,N
Brazil,https://en.wikipedia.org/wiki/Brazil,8.70%,86.70%,4.70%,P,9.20%,85.70%,5.10%,P
Chick-fil-A,https://en.wikipedia.org/wiki/Chick-fil-A,8.80%,87.70%,3.50%,P,9.50%,86.80%,3.80%,P
Texas A&M University,https://en.wikipedia.org/wiki/Texas_A%26M_University,9.50%,87.40%,3.00%,P,10.40%,86.40%,3.20%,P
University of Texas at Austin,https://en.wikipedia.org/wiki/University_of_Texas_at_Austin,9.50%,87.80%,2.70%,P,10.90%,86.20%,2.90%,P
Texas Tech University,https://en.wikipedia.org/wiki/Texas_Tech_University,8.90%,86.50%,1.60%,P,9.40%,88.70%,1.90%,P
Rice University,https://en.wikipedia.org/wiki/Rice_University,10.80%,86.90%,2.40%,P,11.30%,86.30%,2.40%,P
Texas State University,https://en.wikipedia.org/wiki/Texas_State_University,6.90%,90.70%,2.40%,P,7.40%,90.00%,2.60%,P
Xavier University,https://en.wikipedia.org/wiki/Xavier_University,10.40%,89.20%,0.50%,P,10.70%,88.80%,0.50%,P
University of Michigan,https://en.wikipedia.org/wiki/University_of_Michigan,7.80%,89.60%,2.60%,P,8.50%,88.70%,2.80%,P
Ohio University,https://en.wikipedia.org/wiki/Ohio_University,9.90%,88.50%,9.90%,P,10.60%,87.80%,1.70%,P
Auburn University,https://en.wikipedia.org/wiki/Auburn_University,10.40%,85.30%,4.30%,P,10.90%,84.60%,4.50%,P
Johns Hopkins University,https://en.wikipedia.org/wiki/Johns_Hopkins_University,8.30%,90.60%,1.10%,P,8.80%,90.10%,1.20%,P
University of New Mexico,https://en.wikipedia.org/wiki/University_of_New_Mexico,9.00%,89.20%,1.90%,P,9.40%,88.60%,9.40%,P
Harvard University,https://en.wikipedia.org/wiki/Harvard_University,7.60%,89.70%,2.70%,P,8.20%,89.00%,2.90%,P
Tyla (South African singer),https://en.wikipedia.org/wiki/Tyla_(South_African_singer),11.60%,88.10%,0.40%,P,12.90%,86.70%,0.40%,P
